(>Bin) or Part Name,Direction,Forced Assembly Strategy?,Forced Relative Overhang Position?,Direct Synthesis Firewall?,Extra 5' CPEC overlap bps,Extra 3' CPEC overlap bps
45_hCas9-VPR,forward,,,FALSE,,
2340_pMODKan-HO-pACT1-ZEV4,forward,,,FALSE,,
2333_pMODKan-HO-pACT1-ZEV4,forward,,,FALSE,,
