(>Bin) or Part Name,Direction,Forced Assembly Strategy?,Forced Relative Overhang Position?,Direct Synthesis Firewall?,Extra 5' CPEC overlap bps,Extra 3' CPEC overlap bps
45,forward,,,,,
2340,forward,,,,,
2333,forward,,,,,
