Part Name,Part Source (Sequence Display ID),Reverse Compliment?,Start (bp),End (bp),Five Prime Internal Preferred Overhangs?,Three Prime Internal Preferred Overhangs?
45,hCas9-VPR,False,4852,6544,,
2340,pMODKan-HO-pACT1-ZEV4,False,4423,727,,
2333,pMODKan-HO-pACT1-ZEV4,False,727,4219,,
